Autorizador;Servico;Versao;Ambiente;Estados;URL;SOAPAction
MS;NfeInutilizacao;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeInutilizacao4;
MS;NfeconsultaProtocolo;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeConsultaProtocolo4;
MS;NfeStatusServico;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeStatusServico4;
MS;RecepcaoEvento;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeRecepcaoEvento4;
MS;NFeAutorizacao;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeAutorizacao4;
MS;NFeRetAutorizacao;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeRetAutorizacao4;
MS;NfeInutilizacao;4.0;HOM;50;;
MS;NfeconsultaProtocolo;4.0;HOM;50;;
MS;NfeStatusServico;4.0;HOM;50;;
MS;RecepcaoEvento;4.0;HOM;50;;
MS;NFeAutorizacao;4.0;HOM;50;;
MS;NFeRetAutorizacao;4.0;HOM;50;;
MT;NfeInutilizacao;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeInutilizacao4?wsdl;
MT;NfeconsultaProtocolo;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeConsulta4?wsdl;
MT;NfeStatusServico;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeStatusServico4?wsdl;
MT;RecepcaoEvento;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/RecepcaoEvento4?wsdl;
MT;NFeAutorizacao;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeAutorizacao4?wsdl;
MT;NFeRetAutorizacao;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeRetAutorizacao4?wsdl;
MT;NfeInutilizacao;4.0;HOM;51;;
MT;NfeconsultaProtocolo;4.0;HOM;51;;
MT;NfeStatusServico;4.0;HOM;51;;
MT;RecepcaoEvento;4.0;HOM;51;;
MT;NFeAutorizacao;4.0;HOM;51;;
MT;NFeRetAutorizacao;4.0;HOM;51;;
PE;NfeInutilizacao;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeInutilizacao4;
PE;NfeconsultaProtocolo;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeConsultaProtocolo4;
PE;NfeStatusServico;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeStatusServico4;
PE;RecepcaoEvento;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeRecepcaoEvento4;
PE;NFeAutorizacao;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeAutorizacao4;
PE;NFeRetAutorizacao;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeRetAutorizacao4;
PE;NfeInutilizacao;4.0;HOM;26;;
PE;NfeconsultaProtocolo;4.0;HOM;26;;
PE;NfeStatusServico;4.0;HOM;26;;
PE;RecepcaoEvento;4.0;HOM;26;;
PE;NFeAutorizacao;4.0;HOM;26;;
PE;NFeRetAutorizacao;4.0;HOM;26;;
PR;NfeInutilizacao;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeInutilizacao4?wsdl;
PR;NfeconsultaProtocolo;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeConsultaProtocolo4?wsdl;
PR;NfeStatusServico;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeStatusServico4?wsdl;
PR;RecepcaoEvento;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeRecepcaoEvento4?wsdl;
PR;NFeAutorizacao;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeAutorizacao4?wsdl;
PR;NFeRetAutorizacao;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeRetAutorizacao4?wsdl;
PR;NfeInutilizacao;4.0;HOM;41;;
PR;NfeconsultaProtocolo;4.0;HOM;41;;
PR;NfeStatusServico;4.0;HOM;41;;
PR;RecepcaoEvento;4.0;HOM;41;;
PR;NFeAutorizacao;4.0;HOM;41;;
PR;NFeRetAutorizacao;4.0;HOM;41;;
RS;NfeInutilizacao;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/nfeinutilizacao/nfeinutilizacao4.asmx;
RS;NfeconsultaProtocolo;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/NfeConsulta/NfeConsulta4.asmx;
RS;NfeStatusServico;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/NfeStatusServico/NfeStatusServico4.asmx;
RS;RecepcaoEvento;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/recepcaoevento/recepcaoevento4.asmx;
RS;NFeAutorizacao;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/NfeAutorizacao/NFeAutorizacao4.asmx;
RS;NFeRetAutorizacao;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/NfeRetAutorizacao/NFeRetAutorizacao4.asmx;
RS;NfeInutilizacao;4.0;HOM;43;;
RS;NfeconsultaProtocolo;4.0;HOM;43;;
RS;NfeStatusServico;4.0;HOM;43;;
RS;RecepcaoEvento;4.0;HOM;43;;
RS;NFeAutorizacao;4.0;HOM;43;;
RS;NFeRetAutorizacao;4.0;HOM;43;;
SP;NfeInutilizacao;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nfeinutilizacao4.asmx;
SP;NfeconsultaProtocolo;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nfeconsultaprotocolo4.asmx;
SP;NfeStatusServico;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nfestatusservico4.asmx;
SP;RecepcaoEvento;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nferecepcaoevento4.asmx;
SP;NFeAutorizacao;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nfeautorizacao4.asmx;
SP;NFeRetAutorizacao;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nferetautorizacao4.asmx;
SP;NfeInutilizacao;4.0;HOM;35;;
SP;NfeconsultaProtocolo;4.0;HOM;35;;
SP;NfeStatusServico;4.0;HOM;35;;
SP;RecepcaoEvento;4.0;HOM;35;;
SP;NFeAutorizacao;4.0;HOM;35;;
SP;NFeRetAutorizacao;4.0;HOM;35;;
SVAN;NfeInutilizacao;4.0;PRD;15,21;https://www.sefazvirtual.fazenda.gov.br/NFeInutilizacao4/NFeInutilizacao4.asmx;
SVAN;NfeconsultaProtocolo;4.0;PRD;15,21;https://www.sefazvirtual.fazenda.gov.br/NFeConsultaProtocolo4/NFeConsultaProtocolo4.asmx;
SVAN;NfeStatusServico;4.0;PRD;15,21;https://www.sefazvirtual.fazenda.gov.br/NFeStatusServico4/NFeStatusServico4.asmx;
SVAN;RecepcaoEvento;4.0;PRD;15,21;https://www.sefazvirtual.fazenda.gov.br/NFeRecepcaoEvento4/NFeRecepcaoEvento4.asmx;
SVAN;NFeAutorizacao;4.0;PRD;15,21;https://www.sefazvirtual.fazenda.gov.br/NFeAutorizacao4/NFeAutorizacao4.asmx;
SVAN;NFeRetAutorizacao;4.0;PRD;15,21;https://www.sefazvirtual.fazenda.gov.br/NFeRetAutorizacao4/NFeRetAutorizacao4.asmx;
SVAN;NfeInutilizacao;4.0;HOM;15,21;;
SVAN;NfeconsultaProtocolo;4.0;HOM;15,21;;
SVAN;NfeStatusServico;4.0;HOM;15,21;;
SVAN;RecepcaoEvento;4.0;HOM;15,21;;
SVAN;NFeAutorizacao;4.0;HOM;15,21;;
SVAN;NFeRetAutorizacao;4.0;HOM;15,21;;
SVRS;NfeInutilizacao;4.0;PRD;12,27,16,53,32,25,33,24,11,14,42,28,17,22;https://nfe.svrs.rs.gov.br/ws/nfeinutilizacao/nfeinutilizacao4.asmx;
SVRS;NfeconsultaProtocolo;4.0;PRD;12,27,16,53,32,25,33,24,11,14,42,28,17,22;https://nfe.svrs.rs.gov.br/ws/NfeConsulta/NfeConsulta4.asmx;
SVRS;NfeStatusServico;4.0;PRD;12,27,16,53,32,25,33,24,11,14,42,28,17,22;https://nfe.svrs.rs.gov.br/ws/NfeStatusServico/NfeStatusServico4.asmx;
SVRS;RecepcaoEvento;4.0;PRD;12,27,16,53,32,25,33,24,11,14,42,28,17,22;https://nfe.svrs.rs.gov.br/ws/recepcaoevento/recepcaoevento4.asmx;
SVRS;NFeAutorizacao;4.0;PRD;12,27,16,53,32,25,33,24,11,14,42,28,17,22;https://nfe.svrs.rs.gov.br/ws/NfeAutorizacao/NFeAutorizacao4.asmx;
SVRS;NFeRetAutorizacao;4.0;PRD;12,27,16,53,32,25,33,24,11,14,42,28,17,22;https://nfe.svrs.rs.gov.br/ws/NfeRetAutorizacao/NFeRetAutorizacao4.asmx;
SVRS;NfeInutilizacao;4.0;HOM;12,27,16,53,32,25,33,24,11,14,42,28,17,22;;
SVRS;NfeconsultaProtocolo;4.0;HOM;12,27,16,53,32,25,33,24,11,14,42,28,17,22;;
SVRS;NfeStatusServico;4.0;HOM;12,27,16,53,32,25,33,24,11,14,42,28,17,22;;
SVRS;RecepcaoEvento;4.0;HOM;12,27,16,53,32,25,33,24,11,14,42,28,17,22;;
SVRS;NFeAutorizacao;4.0;HOM;12,27,16,53,32,25,33,24,11,14,42,28,17,22;;
SVRS;NFeRetAutorizacao;4.0;HOM;12,27,16,53,32,25,33,24,11,14,42,28,17,22;;
SVCAN;NfeInutilizacao;4.0;PRD;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;;
SVCAN;NfeconsultaProtocolo;4.0;PRD;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;https://www.svc.fazenda.gov.br/NFeConsultaProtocolo4/NFeConsultaProtocolo4.asmx;
SVCAN;NfeStatusServico;4.0;PRD;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;https://www.svc.fazenda.gov.br/NFeStatusServico4/NFeStatusServico4.asmx;
SVCAN;RecepcaoEvento;4.0;PRD;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;https://www.svc.fazenda.gov.br/NFeRecepcaoEvento4/NFeRecepcaoEvento4.asmx;
SVCAN;NFeAutorizacao;4.0;PRD;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;https://www.svc.fazenda.gov.br/NFeAutorizacao4/NFeAutorizacao4.asmx;
SVCAN;NFeRetAutorizacao;4.0;PRD;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;https://www.svc.fazenda.gov.br/NFeRetAutorizacao4/NFeRetAutorizacao4.asmx;
SVCAN;NfeInutilizacao;4.0;HOM;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;;
SVCAN;NfeconsultaProtocolo;4.0;HOM;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;;
SVCAN;NfeStatusServico;4.0;HOM;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;;
SVCAN;RecepcaoEvento;4.0;HOM;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;;
SVCAN;NFeAutorizacao;4.0;HOM;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;;
SVCAN;NFeRetAutorizacao;4.0;HOM;12,27,16,53,32,31,25,22,33,24,11,14,43,42,28,35,17;;
SVCRS;NfeInutilizacao;4.0;PRD;13,29,23,21,50,51,15,26,41;;
SVCRS;NfeconsultaProtocolo;4.0;PRD;13,29,23,21,50,51,15,26,41;https://nfe.svrs.rs.gov.br/ws/NfeConsulta/NfeConsulta4.asmx;
SVCRS;NfeStatusServico;4.0;PRD;13,29,23,21,50,51,15,26,41;https://nfe.svrs.rs.gov.br/ws/NfeStatusServico/NfeStatusServico4.asmx;
SVCRS;RecepcaoEvento;4.0;PRD;13,29,23,21,50,51,15,26,41;https://nfe.svrs.rs.gov.br/ws/recepcaoevento/recepcaoevento4.asmx;
SVCRS;NFeAutorizacao;4.0;PRD;13,29,23,21,50,51,15,26,41;https://nfe.svrs.rs.gov.br/ws/NfeAutorizacao/NFeAutorizacao4.asmx;
SVCRS;NFeRetAutorizacao;4.0;PRD;13,29,23,21,50,51,15,26,41;https://nfe.svrs.rs.gov.br/ws/NfeRetAutorizacao/NFeRetAutorizacao4.asmx;
SVCRS;NfeInutilizacao;4.0;HOM;13,29,23,21,50,51,15,26,41;;
SVCRS;NfeconsultaProtocolo;4.0;HOM;13,29,23,21,50,51,15,26,41;;
SVCRS;NfeStatusServico;4.0;HOM;13,29,23,21,50,51,15,26,41;;
SVCRS;RecepcaoEvento;4.0;HOM;13,29,23,21,50,51,15,26,41;;
SVCRS;NFeAutorizacao;4.0;HOM;13,29,23,21,50,51,15,26,41;;
SVCRS;NFeRetAutorizacao;4.0;HOM;13,29,23,21,50,51,15,26,41;;
